ESV,bac1,bac10,bac2,bac3,bac7,bac8,bac9
ESV2616.1457,Perfect,Perfect,Perfect,Perfect,Perfect,Perfect,Perfect
ESV2617.1407,Perfect,Perfect,Perfect,Perfect,Perfect,Perfect,Perfect
ESV2618.1456,Perfect,Partial,Perfect,Perfect,Perfect,Perfect,Perfect
ESV2619.1484,Perfect,Perfect,Perfect,Perfect,Perfect,Perfect,Perfect
ESV262.1451,Perfect,Perfect,Perfect,Perfect,Perfect,Perfect,Perfect
ESV2620.1388,Perfect,Perfect,Perfect,Perfect,Perfect,Perfect,Perfect
ESV2621.1424,Perfect,Poor,Perfect,Partial,Perfect,Perfect,Perfect
ESV2622.1447,Perfect,Perfect,Perfect,Perfect,Perfect,Perfect,Perfect
ESV2623.1491,Perfect,Perfect,Perfect,Perfect,Perfect,Perfect,Perfect
ESV2624.1556,Perfect,Poor,Perfect,Perfect,Perfect,Perfect,Perfect
ESV2625.1446,Perfect,Partial,Perfect,Perfect,Perfect,Perfect,Perfect
ESV2626.1455,Perfect,Partial,Perfect,Perfect,Perfect,Perfect,Perfect
ESV2627.1452,Perfect,Perfect,Perfect,Perfect,Perfect,Perfect,Perfect
ESV2628.1456,Perfect,Poor,Perfect,Partial,Perfect,Perfect,Perfect
ESV2629.1440,Perfect,Partial,Perfect,Perfect,Perfect,Perfect,Perfect
ESV263.1455,Perfect,Partial,Perfect,Perfect,Perfect,Perfect,Perfect
ESV2630.1457,Perfect,Perfect,Perfect,Perfect,Perfect,Perfect,Perfect
ESV2631.1439,Perfect,Partial,Perfect,Perfect,Perfect,Perfect,Perfect
ESV2632.1459,Perfect,Perfect,Perfect,Perfect,Perfect,Perfect,Perfect
ESV2633.1438,Perfect,Perfect,Perfect,Perfect,Perfect,Perfect,Perfect
ESV2634.1438,Perfect,Perfect,Perfect,Perfect,Perfect,Perfect,Perfect
ESV2635.1461,Perfect,Perfect,Perfect,Perfect,Perfect,Perfect,Perfect
ESV2636.1459,Perfect,Perfect,Perfect,Perfect,Perfect,Perfect,Perfect
ESV2637.1451,Perfect,Perfect,Perfect,Perfect,Perfect,Perfect,Perfect
ESV2638.1451,Perfect,Perfect,Perfect,Perfect,Perfect,Perfect,Perfect
ESV2639.1415,Perfect,Perfect,Perfect,Perfect,Perfect,Perfect,Perfect
ESV264.1446,Perfect,Perfect,Perfect,Perfect,Perfect,Perfect,Perfect
ESV2640.1453,Perfect,Perfect,Perfect,Perfect,Perfect,Perfect,Perfect
ESV2641.1455,Perfect,Perfect,Perfect,Perfect,Perfect,Perfect,Perfect
ESV2642.1417,Partial,Poor,Partial,Partial,Partial,Partial,Perfect
ESV2643.1426,Perfect,Perfect,Perfect,Perfect,Perfect,Perfect,Perfect
ESV2644.1420,Perfect,Perfect,Perfect,Perfect,Perfect,Perfect,Perfect
ESV2645.1459,Perfect,Perfect,Perfect,Perfect,Perfect,Perfect,Perfect
ESV2646.1442,Perfect,Perfect,Perfect,Perfect,Perfect,Perfect,Perfect
ESV2647.1481,Perfect,Perfect,Perfect,Perfect,Perfect,Perfect,Perfect
ESV2648.1455,Perfect,Partial,Perfect,Perfect,Perfect,Perfect,Perfect
ESV2649.1446,Perfect,Partial,Perfect,Perfect,Perfect,Perfect,Perfect
ESV265.1425,Perfect,Perfect,Perfect,Perfect,Perfect,Perfect,Perfect
ESV2650.1425,Partial,Poor,Partial,Partial,Partial,Partial,Perfect
ESV2651.1456,Perfect,Partial,Perfect,Perfect,Perfect,Perfect,Perfect
ESV2652.1460,Perfect,Perfect,Perfect,Perfect,Perfect,Perfect,Perfect
ESV2653.1423,Perfect,Poor,Perfect,Poor,Perfect,Perfect,Perfect
ESV2654.1444,Perfect,Perfect,Perfect,Partial,Partial,Perfect,Perfect
ESV2655.1425,Perfect,Perfect,Perfect,Perfect,Perfect,Perfect,Perfect
ESV2656.1462,Perfect,Partial,Perfect,Perfect,Perfect,Perfect,Perfect
ESV2657.1406,Perfect,Perfect,Perfect,Perfect,Perfect,Perfect,Perfect
ESV2658.1408,Perfect,Perfect,Perfect,Perfect,Perfect,Perfect,Perfect
ESV2659.1423,Partial,Poor,Partial,Partial,Poor,Poor,Perfect
ESV266.1462,Perfect,Perfect,Perfect,Perfect,Perfect,Perfect,Perfect
ESV2660.1451,Perfect,Perfect,Perfect,Perfect,Perfect,Perfect,Perfect
ESV2661.1438,Perfect,Perfect,Perfect,Perfect,Perfect,Perfect,Perfect
ESV2662.1446,Perfect,Partial,Perfect,Perfect,Perfect,Perfect,Perfect
ESV2663.1483,Perfect,Poor,Perfect,Partial,Perfect,Perfect,Perfect
ESV2664.1406,Perfect,Perfect,Perfect,Perfect,Perfect,Perfect,Perfect
ESV2665.1424,Partial,Poor,Partial,Partial,Partial,Partial,Perfect
ESV2666.1455,Perfect,Perfect,Perfect,Perfect,Perfect,Perfect,Perfect
ESV2667.1450,Perfect,Poor,Perfect,Poor,Poor,Perfect,Perfect
ESV2668.1457,Perfect,Partial,Perfect,Perfect,Perfect,Perfect,Perfect
ESV2669.1444,Perfect,Partial,Perfect,Perfect,Perfect,Perfect,Perfect
ESV267.1460,Perfect,Perfect,Perfect,Perfect,Perfect,Perfect,Perfect
ESV2670.1445,Perfect,Perfect,Perfect,Perfect,Perfect,Perfect,Perfect
ESV2671.1453,Perfect,Perfect,Perfect,Perfect,Perfect,Perfect,Perfect
ESV2672.1457,Perfect,Partial,Perfect,Perfect,Perfect,Perfect,Perfect
ESV2673.1420,Perfect,Poor,Perfect,Partial,Partial,Partial,Perfect
ESV2674.1440,Perfect,Perfect,Perfect,Perfect,Perfect,Perfect,Perfect
ESV2675.1443,Perfect,Poor,Perfect,Partial,Partial,Perfect,Perfect
ESV2676.1496,Perfect,Perfect,Perfect,Perfect,Perfect,Perfect,Perfect
ESV2677.1448,Perfect,Perfect,Perfect,Perfect,Perfect,Perfect,Perfect
ESV2678.1442,Poor,Partial,Poor,Perfect,Partial,Perfect,Partial
ESV2679.1445,Perfect,Poor,Perfect,Perfect,Perfect,Perfect,Perfect
ESV268.1459,Perfect,Partial,Perfect,Perfect,Perfect,Perfect,Perfect
ESV2680.1411,Perfect,Perfect,Perfect,Perfect,Perfect,Perfect,Perfect
ESV2681.1451,Perfect,Perfect,Perfect,Perfect,Perfect,Perfect,Perfect
ESV2682.1486,Perfect,Perfect,Perfect,Perfect,Perfect,Perfect,Perfect
ESV2683.1449,Perfect,Partial,Perfect,Perfect,Perfect,Perfect,Perfect
ESV2684.1425,Perfect,Perfect,Perfect,Perfect,Perfect,Perfect,Perfect
ESV2685.1415,Perfect,Perfect,Perfect,Perfect,Perfect,Perfect,Perfect
ESV2686.1480,Perfect,Poor,Perfect,Perfect,Perfect,Perfect,Perfect
ESV2687.1446,Perfect,Perfect,Perfect,Perfect,Perfect,Perfect,Perfect
ESV2688.1458,Perfect,Poor,Perfect,Perfect,Perfect,Perfect,Perfect
ESV2689.1463,Perfect,Perfect,Perfect,Perfect,Perfect,Perfect,Perfect
ESV269.1473,Perfect,Perfect,Perfect,Perfect,Perfect,Perfect,Perfect
ESV2690.1451,Perfect,Partial,Perfect,Perfect,Perfect,Perfect,Perfect
ESV2691.1446,Perfect,Perfect,Perfect,Perfect,Perfect,Perfect,Perfect
ESV2692.1425,Perfect,Perfect,Perfect,Perfect,Perfect,Perfect,Perfect
ESV2693.1385,Perfect,Perfect,Perfect,Perfect,Perfect,Perfect,Perfect
ESV2694.1468,Partial,Partial,Partial,Poor,Perfect,Perfect,Perfect
ESV2695.1532,Perfect,Partial,Perfect,Perfect,Perfect,Perfect,Perfect
ESV2696.1442,Perfect,Perfect,Perfect,Perfect,Perfect,Perfect,Perfect
ESV2697.1445,Perfect,Perfect,Perfect,Perfect,Perfect,Perfect,Perfect
ESV2698.1492,Perfect,Perfect,Perfect,Perfect,Perfect,Perfect,Perfect
ESV2699.1420,Perfect,Poor,Perfect,Perfect,Perfect,Perfect,Perfect
ESV27.1459,Perfect,Partial,Perfect,Perfect,Perfect,Perfect,Perfect
ESV270.1451,Perfect,Partial,Perfect,Perfect,Perfect,Perfect,Perfect
ESV2700.1460,Perfect,Partial,Perfect,Perfect,Perfect,Perfect,Perfect
ESV2701.1444,Perfect,Poor,Perfect,Perfect,Perfect,Perfect,Perfect
ESV2702.1424,Partial,Poor,Partial,Partial,Partial,Partial,Perfect
ESV2703.1445,Perfect,Perfect,Perfect,Perfect,Perfect,Perfect,Perfect
ESV2704.1440,Perfect,Perfect,Perfect,Perfect,Perfect,Perfect,Perfect
ESV2705.1451,Perfect,Perfect,Perfect,Perfect,Perfect,Perfect,Perfect
ESV2706.1444,Partial,Partial,Partial,Perfect,Perfect,Perfect,Partial
ESV2707.1426,Perfect,Partial,Perfect,Partial,Perfect,Perfect,Perfect
ESV2708.1425,Perfect,Poor,Perfect,Partial,Perfect,Perfect,Perfect
ESV2709.1449,Perfect,Perfect,Perfect,Perfect,Perfect,Perfect,Perfect
ESV271.1411,Perfect,Perfect,Perfect,Perfect,Perfect,Perfect,Perfect
ESV2710.1470,Perfect,Perfect,Perfect,Perfect,Perfect,Perfect,Perfect
ESV2711.1453,Perfect,Perfect,Perfect,Perfect,Perfect,Perfect,Perfect
ESV2712.1493,Perfect,Perfect,Perfect,Perfect,Perfect,Perfect,Perfect
ESV2713.1480,Perfect,Perfect,Perfect,Perfect,Perfect,Perfect,Perfect
ESV2714.1470,Perfect,Perfect,Perfect,Perfect,Perfect,Perfect,Perfect
ESV2715.1387,Perfect,Partial,Perfect,Perfect,Perfect,Perfect,Perfect
ESV2716.1414,Perfect,Poor,Perfect,Perfect,Perfect,Perfect,Perfect
ESV2717.1400,Perfect,Poor,Perfect,Partial,Perfect,Partial,Partial
ESV2718.1408,Perfect,Perfect,Perfect,Perfect,Perfect,Perfect,Perfect
ESV2719.1446,Perfect,Perfect,Perfect,Perfect,Perfect,Perfect,Perfect
ESV272.1479,Perfect,Perfect,Perfect,Perfect,Perfect,Perfect,Perfect
ESV2720.1457,Perfect,Poor,Perfect,Perfect,Perfect,Perfect,Perfect
ESV2721.1423,Perfect,Perfect,Perfect,Perfect,Perfect,Perfect,Perfect
ESV2722.1425,Perfect,Poor,Perfect,Partial,Perfect,Perfect,Perfect
ESV2723.1404,Perfect,Perfect,Perfect,Perfect,Perfect,Perfect,Perfect
ESV2724.1432,Perfect,Partial,Perfect,Perfect,Perfect,Perfect,Perfect
ESV2725.1429,Perfect,Partial,Perfect,Partial,Partial,Perfect,Perfect
ESV2726.1466,Perfect,Perfect,Perfect,Perfect,Perfect,Perfect,Perfect
ESV2727.1451,Perfect,Perfect,Perfect,Perfect,Perfect,Perfect,Perfect
ESV2728.1441,Perfect,Perfect,Perfect,Perfect,Perfect,Perfect,Perfect
ESV2729.1435,Perfect,Perfect,Perfect,Perfect,Perfect,Perfect,Perfect
ESV273.1460,Perfect,Perfect,Perfect,Perfect,Perfect,Perfect,Perfect
ESV2730.1462,Perfect,Perfect,Perfect,Perfect,Perfect,Perfect,Perfect
ESV2731.1479,Perfect,Perfect,Perfect,Perfect,Perfect,Perfect,Perfect
ESV2732.1456,Perfect,Poor,Perfect,Poor,Perfect,Perfect,Perfect
ESV2733.1446,Perfect,Perfect,Perfect,Perfect,Perfect,Perfect,Perfect
ESV2734.1407,Perfect,Perfect,Perfect,Perfect,Perfect,Perfect,Perfect
ESV2735.1476,Perfect,Perfect,Perfect,Perfect,Perfect,Perfect,Perfect
ESV2736.1475,Perfect,Poor,Perfect,Perfect,Perfect,Perfect,Perfect
ESV2737.1456,Perfect,Partial,Perfect,Perfect,Perfect,Perfect,Perfect
ESV2738.1427,Partial,Poor,Partial,Partial,Partial,Partial,Perfect
ESV2739.1411,Perfect,Perfect,Perfect,Perfect,Perfect,Perfect,Perfect
ESV274.1460,Perfect,Perfect,Perfect,Perfect,Perfect,Perfect,Perfect
ESV2740.1445,Perfect,Perfect,Perfect,Perfect,Perfect,Perfect,Perfect
ESV2741.1431,Perfect,Perfect,Perfect,Perfect,Perfect,Perfect,Perfect
ESV2742.1442,Perfect,Perfect,Perfect,Perfect,Perfect,Perfect,Perfect
ESV2743.1453,Perfect,Perfect,Perfect,Perfect,Perfect,Perfect,Perfect
ESV2744.1460,Perfect,Perfect,Perfect,Perfect,Perfect,Perfect,Perfect
ESV2745.1412,Perfect,Poor,Perfect,Perfect,Perfect,Perfect,Perfect
ESV2746.1426,Perfect,Perfect,Perfect,Perfect,Perfect,Perfect,Perfect
ESV2747.1471,Perfect,Perfect,Perfect,Perfect,Perfect,Perfect,Perfect
ESV2748.1432,Perfect,Partial,Perfect,Perfect,Perfect,Perfect,Perfect
ESV2749.1446,Perfect,Partial,Perfect,Perfect,Perfect,Perfect,Perfect
ESV275.1467,Perfect,Perfect,Perfect,Perfect,Perfect,Perfect,Perfect
ESV2750.1429,Perfect,Poor,Perfect,Perfect,Perfect,Perfect,Perfect
ESV2751.1606,Perfect,Partial,Perfect,Perfect,Perfect,Perfect,Perfect
ESV2752.1431,Perfect,Partial,Perfect,Perfect,Perfect,Perfect,Perfect
ESV2753.1451,Perfect,Perfect,Perfect,Perfect,Perfect,Perfect,Perfect
ESV2754.1450,Perfect,Partial,Perfect,Perfect,Perfect,Perfect,Perfect
ESV2755.1447,Perfect,Partial,Perfect,Partial,Perfect,Perfect,Perfect
ESV2756.1449,Perfect,Partial,Perfect,Perfect,Perfect,Perfect,Perfect
ESV2757.1456,Perfect,Partial,Perfect,Perfect,Perfect,Perfect,Perfect
ESV2758.1480,Perfect,Poor,Perfect,Perfect,Perfect,Perfect,Perfect
ESV2759.1415,Perfect,Partial,Perfect,Perfect,Perfect,Perfect,Perfect
ESV276.1387,Perfect,Partial,Perfect,Perfect,Perfect,Perfect,Perfect
ESV2760.1441,Perfect,Poor,Perfect,Perfect,Perfect,Perfect,Perfect
ESV2761.1472,Perfect,Partial,Perfect,Perfect,Perfect,Perfect,Perfect
ESV2762.1385,Perfect,Partial,Perfect,Perfect,Perfect,Perfect,Perfect
ESV2763.1487,Perfect,Perfect,Perfect,Perfect,Perfect,Perfect,Perfect
ESV2764.1451,Perfect,Perfect,Perfect,Perfect,Perfect,Perfect,Perfect
ESV2765.1431,Perfect,Poor,Perfect,Partial,Partial,Perfect,Perfect
ESV2766.1428,Perfect,Poor,Perfect,Perfect,Perfect,Perfect,Perfect
ESV2767.1446,Perfect,Partial,Perfect,Perfect,Perfect,Perfect,Perfect
ESV2768.1445,Perfect,Partial,Perfect,Perfect,Perfect,Perfect,Perfect
ESV2769.1425,Partial,Poor,Partial,Partial,Partial,Partial,Perfect
ESV277.1436,Perfect,Poor,Perfect,Partial,Partial,Perfect,Perfect
ESV2770.1442,Perfect,Perfect,Perfect,Perfect,Perfect,Perfect,Perfect
ESV2771.1475,Perfect,Perfect,Perfect,Perfect,Perfect,Perfect,Perfect
ESV2772.1441,Perfect,Poor,Perfect,Perfect,Perfect,Perfect,Perfect
ESV2773.1377,Poor,Partial,Poor,Perfect,Perfect,Perfect,Poor
ESV2774.1455,Perfect,Perfect,Perfect,Partial,Perfect,Perfect,Perfect
ESV2775.1404,Partial,Poor,Partial,Perfect,Partial,Partial,Perfect
ESV2776.1387,Perfect,Partial,Perfect,Perfect,Perfect,Perfect,Perfect
ESV2777.1439,Partial,Poor,Partial,Poor,Perfect,Perfect,Perfect
ESV2778.1457,Perfect,Perfect,Perfect,Perfect,Perfect,Perfect,Perfect
ESV2779.1480,Perfect,Perfect,Perfect,Perfect,Perfect,Perfect,Perfect
ESV278.1387,Perfect,Partial,Perfect,Perfect,Perfect,Perfect,Perfect
ESV2780.1476,Perfect,Poor,Perfect,Perfect,Perfect,Perfect,Perfect
ESV2781.1437,Perfect,Poor,Perfect,Poor,Perfect,Perfect,Perfect
ESV2782.1425,Partial,Poor,Partial,Partial,Partial,Partial,Perfect
ESV2783.1387,Perfect,Perfect,Perfect,Partial,Perfect,Perfect,Perfect
ESV2784.1440,Perfect,Poor,Perfect,Perfect,Perfect,Perfect,Perfect
ESV2785.1449,Perfect,Poor,Perfect,Poor,Poor,Perfect,Perfect
ESV2786.1492,Perfect,Perfect,Perfect,Perfect,Perfect,Perfect,Perfect
ESV2787.1463,Perfect,Perfect,Perfect,Perfect,Perfect,Perfect,Perfect
ESV2788.1425,Perfect,Poor,Perfect,Partial,Perfect,Perfect,Perfect
ESV2789.1432,Perfect,Perfect,Perfect,Perfect,Perfect,Perfect,Perfect
ESV279.1478,Perfect,Perfect,Perfect,Perfect,Perfect,Perfect,Perfect
ESV2790.1416,Partial,Partial,Partial,Partial,Partial,Partial,Partial
ESV2791.1482,Perfect,Perfect,Perfect,Partial,Perfect,Perfect,Perfect
ESV2792.1451,Perfect,Partial,Perfect,Partial,Perfect,Perfect,Perfect
ESV2793.1450,Partial,Poor,Partial,Partial,Poor,Poor,Partial
ESV2794.1459,Perfect,Perfect,Perfect,Perfect,Perfect,Perfect,Perfect
ESV2795.1445,Perfect,Partial,Perfect,Perfect,Perfect,Perfect,Perfect
ESV2796.1460,Perfect,Partial,Perfect,Perfect,Perfect,Perfect,Perfect
ESV2797.1405,Perfect,Perfect,Perfect,Perfect,Perfect,Perfect,Perfect
ESV2798.1462,Perfect,Perfect,Perfect,Perfect,Perfect,Perfect,Perfect
ESV2799.1482,Perfect,Perfect,Perfect,Partial,Perfect,Perfect,Perfect
ESV28.1476,Perfect,Perfect,Perfect,Perfect,Perfect,Perfect,Perfect
ESV280.1471,Perfect,Poor,Perfect,Perfect,Perfect,Perfect,Perfect
ESV2800.1461,Perfect,Perfect,Perfect,Perfect,Perfect,Perfect,Perfect
ESV2801.1457,Perfect,Perfect,Perfect,Perfect,Perfect,Perfect,Perfect
ESV2802.1445,Perfect,Perfect,Perfect,Perfect,Perfect,Perfect,Perfect
ESV2803.1441,Perfect,Perfect,Perfect,Perfect,Perfect,Perfect,Perfect
ESV2804.1442,Partial,Poor,Partial,Perfect,Partial,Perfect,Perfect
ESV2805.1462,Perfect,Partial,Perfect,Perfect,Perfect,Perfect,Perfect
ESV2806.1451,Perfect,Partial,Perfect,Partial,Perfect,Perfect,Perfect
ESV2807.1420,Perfect,Perfect,Perfect,Perfect,Perfect,Perfect,Perfect
ESV2808.1454,Perfect,Partial,Perfect,Perfect,Perfect,Perfect,Perfect
ESV2809.1445,Perfect,Partial,Perfect,Perfect,Perfect,Perfect,Perfect
ESV281.1425,Perfect,Perfect,Perfect,Perfect,Perfect,Perfect,Perfect
ESV2810.1457,Perfect,Perfect,Perfect,Perfect,Perfect,Perfect,Perfect
ESV2811.1458,Perfect,Perfect,Perfect,Perfect,Perfect,Perfect,Perfect
ESV2812.1441,Perfect,Perfect,Perfect,Perfect,Perfect,Perfect,Perfect
ESV2813.1424,Perfect,Poor,Perfect,Partial,Perfect,Perfect,Perfect
ESV2814.1461,Perfect,Perfect,Perfect,Perfect,Perfect,Perfect,Perfect
ESV2815.1446,Perfect,Perfect,Perfect,Perfect,Perfect,Perfect,Perfect
ESV2816.1431,Perfect,Partial,Perfect,Perfect,Perfect,Perfect,Perfect
ESV2817.1469,Perfect,Poor,Perfect,Poor,Poor,Perfect,Perfect
ESV2818.1457,Perfect,Perfect,Perfect,Perfect,Perfect,Perfect,Perfect
ESV2819.1493,Perfect,Perfect,Perfect,Perfect,Perfect,Perfect,Perfect
ESV282.1400,Perfect,Poor,Perfect,Partial,Partial,Partial,Perfect
ESV2820.1461,Perfect,Perfect,Perfect,Perfect,Perfect,Perfect,Perfect
ESV2821.1427,Perfect,Partial,Perfect,Perfect,Perfect,Perfect,Perfect
ESV2822.1468,Perfect,Partial,Perfect,Perfect,Perfect,Perfect,Perfect
ESV2823.1438,Perfect,Partial,Perfect,Perfect,Perfect,Perfect,Perfect
ESV2824.1451,Perfect,Poor,Perfect,Perfect,Perfect,Perfect,Perfect
ESV2825.1467,Perfect,Perfect,Perfect,Perfect,Perfect,Perfect,Perfect
ESV2826.1440,Perfect,Partial,Perfect,Perfect,Perfect,Perfect,Perfect
ESV2827.1425,Perfect,Perfect,Perfect,Perfect,Perfect,Perfect,Perfect
ESV2828.1425,Perfect,Perfect,Perfect,Perfect,Perfect,Perfect,Perfect
ESV2829.1419,Perfect,Perfect,Perfect,Perfect,Perfect,Perfect,Perfect
ESV283.1445,Perfect,Perfect,Perfect,Perfect,Perfect,Perfect,Perfect
ESV2830.1445,Perfect,Perfect,Perfect,Perfect,Perfect,Perfect,Perfect
ESV2831.1446,Partial,Partial,Partial,Perfect,Perfect,Perfect,Partial
ESV2832.1425,Perfect,Poor,Perfect,Partial,Perfect,Perfect,Perfect
ESV2833.1432,Perfect,Partial,Perfect,Perfect,Perfect,Perfect,Perfect
ESV2834.1450,Perfect,Perfect,Perfect,Perfect,Perfect,Perfect,Perfect
ESV2835.1463,Perfect,Perfect,Perfect,Perfect,Perfect,Perfect,Perfect
ESV2836.1446,Perfect,Poor,Perfect,Poor,Perfect,Perfect,Perfect
ESV2837.1445,Perfect,Perfect,Perfect,Perfect,Perfect,Perfect,Perfect
ESV2838.1455,Perfect,Perfect,Perfect,Perfect,Perfect,Perfect,Perfect
ESV2839.1459,Perfect,Partial,Perfect,Perfect,Perfect,Perfect,Perfect
ESV284.1456,Perfect,Perfect,Perfect,Perfect,Perfect,Perfect,Perfect
ESV2840.1440,Perfect,Perfect,Perfect,Partial,Partial,Perfect,Perfect
ESV2841.1436,Partial,Poor,Partial,Partial,Partial,Partial,Perfect
ESV2842.1416,Perfect,Partial,Perfect,Perfect,Partial,Partial,Perfect
ESV2843.1393,Partial,Poor,Partial,Partial,Perfect,Perfect,Partial
ESV2844.1469,Perfect,Partial,Perfect,Perfect,Perfect,Perfect,Perfect
ESV2845.1426,Perfect,Poor,Perfect,Perfect,Perfect,Perfect,Perfect
ESV2846.1443,Perfect,Perfect,Perfect,Perfect,Perfect,Perfect,Perfect
ESV2847.1453,Perfect,Perfect,Perfect,Perfect,Perfect,Perfect,Perfect
ESV2848.1461,Perfect,Perfect,Perfect,Perfect,Perfect,Perfect,Perfect
ESV2849.1458,Perfect,Perfect,Perfect,Perfect,Perfect,Perfect,Perfect
ESV285.1458,Perfect,Perfect,Perfect,Perfect,Perfect,Perfect,Perfect
ESV2850.1458,Perfect,Partial,Perfect,Partial,Perfect,Perfect,Perfect
ESV2851.1451,Perfect,Partial,Perfect,Perfect,Perfect,Perfect,Perfect
ESV2852.1412,Perfect,Perfect,Perfect,Perfect,Perfect,Perfect,Perfect
ESV2853.1446,Perfect,Partial,Perfect,Perfect,Perfect,Perfect,Perfect
ESV2854.1445,Perfect,Perfect,Perfect,Partial,Partial,Perfect,Perfect
ESV2855.1449,Perfect,Poor,Perfect,Poor,Perfect,Perfect,Perfect
ESV2856.1442,Perfect,Partial,Perfect,Perfect,Perfect,Perfect,Perfect
ESV2857.1424,Perfect,Poor,Perfect,Partial,Perfect,Perfect,Perfect
ESV2858.1496,Perfect,Perfect,Perfect,Perfect,Perfect,Perfect,Perfect
ESV2859.1444,Perfect,Perfect,Perfect,Perfect,Perfect,Perfect,Perfect
ESV286.1426,Partial,Poor,Partial,Partial,Partial,Partial,Perfect
ESV2860.1459,Perfect,Perfect,Perfect,Perfect,Perfect,Perfect,Perfect
ESV2861.1413,Perfect,Perfect,Perfect,Perfect,Perfect,Perfect,Perfect
ESV2862.1456,Perfect,Perfect,Perfect,Perfect,Perfect,Perfect,Perfect
ESV2863.1458,Perfect,Partial,Perfect,Perfect,Perfect,Perfect,Perfect
ESV2864.1454,Perfect,Perfect,Perfect,Perfect,Perfect,Perfect,Perfect
ESV2865.1478,Perfect,Perfect,Perfect,Perfect,Perfect,Perfect,Perfect
ESV2866.1424,Perfect,Poor,Perfect,Partial,Perfect,Perfect,Perfect
ESV2867.1444,Perfect,Perfect,Perfect,Perfect,Perfect,Perfect,Perfect
ESV2868.1406,Perfect,Perfect,Perfect,Perfect,Perfect,Perfect,Perfect
ESV2869.1460,Perfect,Perfect,Perfect,Perfect,Perfect,Perfect,Perfect
ESV287.1454,Perfect,Perfect,Perfect,Perfect,Perfect,Perfect,Perfect
ESV2870.1435,Perfect,Perfect,Perfect,Perfect,Perfect,Perfect,Perfect
ESV2871.1446,Perfect,Perfect,Perfect,Perfect,Perfect,Perfect,Perfect
ESV2872.1389,Perfect,Partial,Perfect,Perfect,Perfect,Perfect,Perfect
ESV2873.1387,Perfect,Partial,Perfect,Perfect,Perfect,Perfect,Perfect
ESV2874.1448,Perfect,Perfect,Perfect,Perfect,Perfect,Perfect,Perfect
ESV2875.1446,Perfect,Perfect,Perfect,Perfect,Perfect,Perfect,Perfect
ESV2876.1453,Perfect,Partial,Perfect,Partial,Perfect,Perfect,Perfect
ESV2877.1438,Perfect,Perfect,Perfect,Perfect,Perfect,Perfect,Perfect
ESV2878.1481,Perfect,Perfect,Perfect,Perfect,Perfect,Perfect,Perfect
ESV2879.1425,Perfect,Perfect,Perfect,Perfect,Perfect,Perfect,Perfect
ESV288.1387,Perfect,Partial,Perfect,Perfect,Perfect,Perfect,Perfect
ESV2880.1428,Poor,Poor,Poor,Poor,Poor,Poor,Poor
ESV2881.1460,Perfect,Perfect,Perfect,Perfect,Perfect,Perfect,Perfect
ESV2882.1456,Perfect,Perfect,Perfect,Perfect,Perfect,Perfect,Perfect
ESV2883.1442,Perfect,Perfect,Perfect,Perfect,Perfect,Perfect,Perfect
ESV2884.1446,Perfect,Perfect,Perfect,Perfect,Perfect,Perfect,Perfect
ESV2885.1391,Perfect,Partial,Perfect,Perfect,Perfect,Perfect,Perfect
ESV2886.1439,Perfect,Perfect,Perfect,Perfect,Perfect,Perfect,Perfect
ESV2887.1466,Perfect,Perfect,Perfect,Perfect,Perfect,Perfect,Perfect
ESV2888.1446,Poor,Partial,Poor,Perfect,Partial,Perfect,Perfect
ESV2889.1406,Perfect,Perfect,Perfect,Perfect,Perfect,Perfect,Perfect
ESV289.1426,Perfect,Perfect,Perfect,Perfect,Perfect,Perfect,Perfect
ESV2890.1455,Perfect,Perfect,Perfect,Partial,Perfect,Perfect,Perfect
ESV2891.1439,Poor,Partial,Poor,Perfect,Partial,Perfect,Partial
ESV2892.1492,Perfect,Perfect,Perfect,Perfect,Perfect,Perfect,Perfect
ESV2893.1462,Perfect,Perfect,Perfect,Perfect,Perfect,Perfect,Perfect
ESV2894.1427,Perfect,Poor,Perfect,Perfect,Perfect,Perfect,Perfect
ESV2895.1477,Perfect,Partial,Perfect,Perfect,Perfect,Perfect,Perfect
ESV2896.1448,Perfect,Partial,Perfect,Perfect,Perfect,Perfect,Perfect
ESV2897.1485,Perfect,Partial,Perfect,Partial,Perfect,Perfect,Perfect
ESV2898.1450,Perfect,Poor,Perfect,Poor,Perfect,Perfect,Perfect
ESV2899.1407,Perfect,Perfect,Perfect,Perfect,Perfect,Perfect,Perfect
ESV29.1449,Perfect,Partial,Perfect,Perfect,Perfect,Perfect,Perfect
ESV290.1445,Perfect,Perfect,Perfect,Perfect,Perfect,Perfect,Perfect
ESV2900.1439,Perfect,Perfect,Perfect,Perfect,Perfect,Perfect,Perfect
ESV2901.1438,Perfect,Poor,Perfect,Perfect,Perfect,Perfect,Perfect
ESV2902.1438,Perfect,Perfect,Perfect,Perfect,Perfect,Perfect,Perfect
ESV2903.1438,Perfect,Perfect,Perfect,Perfect,Perfect,Perfect,Perfect
ESV2904.1444,Perfect,Perfect,Perfect,Perfect,Perfect,Perfect,Perfect
ESV2905.1447,Perfect,Perfect,Perfect,Perfect,Perfect,Perfect,Perfect
ESV2906.1485,Partial,Perfect,Partial,Perfect,Perfect,Perfect,Perfect
ESV2907.1436,Perfect,Perfect,Perfect,Partial,Partial,Perfect,Perfect
ESV2908.1483,Perfect,Perfect,Perfect,Perfect,Perfect,Perfect,Perfect
