ESV,Kingdom,Phylum,Class,Order,Family,Genus,Species
ESV545.1520,Bacteria,Patescibacteria,Saccharimonadia,Saccharimonadales,midas_f_67,midas_g_363,midas_s_363
ESV546.1470,Bacteria,Patescibacteria,Dojkabacteria,midas_o_546,midas_f_546,midas_g_546,midas_s_546
ESV547.1428,Bacteria,WPS-2,midas_c_206,midas_o_395,midas_f_547,midas_g_547,midas_s_547
ESV548.1453,Bacteria,Bacteroidota,Bacteroidia,Chitinophagales,Chitinophagaceae,Terrimonas,midas_s_548
ESV549.1479,Bacteria,Myxococcota,Myxococcia,Myxococcales,Myxococcaceae,P3OB-42,midas_s_549
ESV550.1417,Bacteria,Chloroflexi,Anaerolineae,Jan/20,midas_f_105,midas_g_550,midas_s_550
ESV551.1451,Bacteria,Proteobacteria,Gammaproteobacteria,Burkholderiales,Comamonadaceae,Leptothrix,midas_s_345
ESV552.1487,Bacteria,Desulfobacterota,Syntrophia,Syntrophales,Smithellaceae,Smithella,midas_s_552
ESV553.1417,Bacteria,Chloroflexi,Anaerolineae,C10-SB1A,midas_f_1,midas_g_1,midas_s_553
ESV554.1458,Bacteria,Firmicutes,D8A-2,midas_o_13,midas_f_13,midas_g_554,midas_s_554
ESV555.1391,Bacteria,Proteobacteria,Alphaproteobacteria,Rhodobacterales,Rhodobacteraceae,midas_g_436,midas_s_555
ESV556.1426,Bacteria,Firmicutes,Clostridia,Peptostreptococcales-Tissierellales,Peptostreptococcaceae,Intestinibacter,Intestinibacter_bartlettii
ESV557.1460,Bacteria,Proteobacteria,Gammaproteobacteria,Burkholderiales,Rhodocyclaceae,Ferribacterium,midas_s_557
ESV558.1433,Bacteria,Bacteroidota,Bacteroidia,Chitinophagales,midas_f_108,midas_g_558,midas_s_558
ESV559.1448,Bacteria,Bacteroidota,Bacteroidia,Bacteroidales,Bacteroidetes_vadinHA17,midas_g_410,midas_s_410
ESV560.1445,Bacteria,Actinobacteriota,Actinobacteria,Micrococcales,Microbacteriaceae,Leucobacter,midas_s_128
ESV561.1462,Bacteria,Actinobacteriota,Actinobacteria,Actinomycetales,Actinomycetaceae,midas_g_343,midas_s_561
ESV562.1450,Bacteria,Planctomycetota,Planctomycetes,Pirellulales,Pirellulaceae,midas_g_562,midas_s_562
ESV563.1425,Bacteria,Firmicutes,Clostridia,Peptostreptococcales-Tissierellales,Peptostreptococcaceae,Romboutsia,Romboutsia_ilealis
ESV564.1456,Bacteria,Proteobacteria,Gammaproteobacteria,Burkholderiales,Sutterellaceae,AAP99,midas_s_564
ESV565.1451,Bacteria,Proteobacteria,Gammaproteobacteria,Burkholderiales,Comamonadaceae,Leptothrix,midas_s_345
ESV566.1460,Bacteria,Proteobacteria,Gammaproteobacteria,Burkholderiales,Rhodocyclaceae,midas_g_94,midas_s_566
ESV567.1566,Bacteria,Firmicutes,Dethiobacteria,Dethiobacterales,Dethiobacteraceae,midas_g_88,midas_s_567
ESV568.1457,Bacteria,Proteobacteria,Gammaproteobacteria,Burkholderiales,Comamonadaceae,Rhodoferax,midas_s_33
ESV569.1456,Bacteria,Actinobacteriota,Actinobacteria,Propionibacteriales,Nocardioidaceae,Nocardioides,midas_s_569
ESV570.1459,Bacteria,Proteobacteria,Gammaproteobacteria,Cellvibrionales,Spongiibacteraceae,BD1-7_clade,midas_s_298
ESV571.1478,Bacteria,Desulfobacterota,Syntrophia,Syntrophales,midas_f_134,midas_g_571,midas_s_571
ESV572.1446,Bacteria,Actinobacteriota,Actinobacteria,Propionibacteriales,Propionibacteriaceae,midas_g_49,midas_s_572
ESV573.1445,Bacteria,Bacteroidota,Bacteroidia,Sphingobacteriales,AKYH767,midas_g_300,midas_s_300
ESV574.1481,Bacteria,Firmicutes,Bacilli,Lactobacillales,Carnobacteriaceae,Trichococcus,midas_s_4
ESV575.1475,Bacteria,Acidobacteriota,Blastocatellia,DS-100,midas_f_502,midas_g_502,midas_s_502
ESV576.1439,Bacteria,Actinobacteriota,Actinobacteria,Propionibacteriales,Propionibacteriaceae,Propionicimonas,midas_s_49
ESV577.1460,Bacteria,Proteobacteria,Gammaproteobacteria,Burkholderiales,Rhodocyclaceae,Dechloromonas,midas_s_173
ESV578.1448,Bacteria,Actinobacteriota,Actinobacteria,midas_o_5,midas_f_5,midas_g_399,midas_s_578
ESV579.1469,Bacteria,Actinobacteriota,Thermoleophilia,Gaiellales,midas_f_269,midas_g_473,midas_s_579
ESV580.1383,Bacteria,Proteobacteria,Alphaproteobacteria,Rhizobiales,midas_f_57,Neomegalonema,midas_s_580
ESV581.1444,Bacteria,Nitrospirota,Thermodesulfovibrionia,midas_o_581,midas_f_581,midas_g_581,midas_s_581
ESV582.1456,Bacteria,Proteobacteria,Gammaproteobacteria,Burkholderiales,Nitrosomonadaceae,Ellin6067,midas_s_582
ESV583.1444,Bacteria,Firmicutes,Clostridia,Oscillospirales,UCG-010,midas_g_583,midas_s_583
ESV584.1444,Bacteria,Actinobacteriota,Acidimicrobiia,Microtrichales,Microtrichaceae,midas_g_120,midas_s_584
ESV585.1433,Bacteria,Firmicutes,Clostridia,Oscillospirales,Ruminococcaceae,Ruminococcus,midas_s_304
ESV586.1460,Bacteria,Proteobacteria,Gammaproteobacteria,Burkholderiales,Rhodocyclaceae,Thauera,Thauera_terpenica
ESV587.1407,Bacteria,Proteobacteria,Alphaproteobacteria,Sphingomonadales,Sphingomonadaceae,Novosphingobium,midas_s_587
ESV588.1478,Bacteria,Firmicutes,Bacilli,Lactobacillales,Streptococcaceae,Streptococcus,Streptococcus_parasuis
ESV589.1443,Bacteria,Bacteroidota,SJA-28,midas_o_31,midas_f_31,midas_g_31,midas_s_589
ESV590.1413,Bacteria,Proteobacteria,Alphaproteobacteria,Rhizobiales,Xanthobacteraceae,Bradyrhizobium,Bradyrhizobium_erythrophlei
ESV591.1448,Bacteria,Actinobacteriota,Acidimicrobiia,Actinomarinales,midas_f_591,midas_g_591,midas_s_591
ESV592.1472,Bacteria,Cloacimonadota,Cloacimonadia,Cloacimonadales,Cloacimonadaceae,W5,midas_s_92
ESV593.1476,Bacteria,Myxococcota,Polyangia,Haliangiales,Haliangiaceae,Haliangium,midas_s_172
ESV594.1479,Bacteria,Firmicutes,Bacilli,Lactobacillales,Streptococcaceae,Lactococcus,Lactococcus_raffinolactis
ESV595.1458,Bacteria,Elusimicrobiota,Elusimicrobia,MVP-88,midas_f_595,midas_g_595,midas_s_595
ESV596.1452,Bacteria,Acidobacteriota,Aminicenantia,Aminicenantales,midas_f_55,midas_g_55,midas_s_55
ESV597.1445,Bacteria,Bacteroidota,Bacteroidia,Flavobacteriales,NS9_marine_group,midas_g_225,midas_s_597
ESV598.1404,Bacteria,Proteobacteria,Alphaproteobacteria,Rhizobiales,Hyphomicrobiaceae,Hyphomicrobium,midas_s_598
ESV599.1438,Bacteria,Bacteroidota,Bacteroidia,Chitinophagales,Saprospiraceae,Haliscomenobacter,Haliscomenobacter_hydrossis
ESV600.1451,Bacteria,Proteobacteria,Gammaproteobacteria,Burkholderiales,Comamonadaceae,Hydrogenophaga,Hydrogenophaga_taeniospiralis
ESV601.1456,Bacteria,Proteobacteria,Gammaproteobacteria,Competibacterales,Competibacteraceae,Ca_Competibacter,midas_s_601
ESV602.1446,Bacteria,Bacteroidota,Bacteroidia,Bacteroidales,Rikenellaceae,Rikenellaceae_RC9_gut_group,midas_s_602
ESV603.1485,Bacteria,Dadabacteria,Dadabacteriia,Dadabacteriales,midas_f_603,midas_g_603,midas_s_603
ESV604.1462,Bacteria,Bacteroidota,Bacteroidia,Sphingobacteriales,Lentimicrobiaceae,Lentimicrobium,midas_s_110
ESV605.1457,Bacteria,Firmicutes,Clostridia,Hungateiclostridiaceae,Fastidiosipila,midas_g_605,midas_s_605
ESV606.1463,Bacteria,Firmicutes,midas_c_4,DTU014,midas_f_148,midas_g_606,midas_s_606
ESV607.1387,Bacteria,Proteobacteria,Alphaproteobacteria,Rhodobacterales,Rhodobacteraceae,Rhodobacter,midas_s_430
ESV608.1402,Bacteria,Proteobacteria,Alphaproteobacteria,Rhizobiales,midas_f_57,Phreatobacter,Phreatobacter_oligotrophus
ESV609.1429,Bacteria,Chloroflexi,Anaerolineae,Ardenticatenales,midas_f_176,midas_g_176,midas_s_609
ESV610.1453,Bacteria,Bacteroidota,Bacteroidia,Chitinophagales,Chitinophagaceae,Terrimonas,midas_s_390
ESV611.1432,Bacteria,Bacteroidota,Bacteroidia,Chitinophagales,Saprospiraceae,midas_g_611,midas_s_611
ESV612.1408,Bacteria,Proteobacteria,Alphaproteobacteria,Rhizobiales,Beijerinckiaceae,midas_g_534,midas_s_612
ESV613.1459,Bacteria,Proteobacteria,Gammaproteobacteria,Burkholderiales,Comamonadaceae,Limnohabitans,midas_s_180
ESV614.1458,Bacteria,Proteobacteria,Gammaproteobacteria,Run-SP154,midas_f_27,midas_g_70,midas_s_70
ESV615.1440,Bacteria,Actinobacteriota,Actinobacteria,Propionibacteriales,Propionibacteriaceae,Brooklawnia,midas_s_193
ESV616.1482,Bacteria,Desulfobacterota,Syntrophorhabdia,Syntrophorhabdales,Syntrophorhabdaceae,Syntrophorhabdus,midas_s_41
ESV617.1485,Bacteria,Dadabacteria,Dadabacteriia,Dadabacteriales,midas_f_603,midas_g_603,midas_s_603
ESV618.1481,Bacteria,Firmicutes,Bacilli,Lactobacillales,Carnobacteriaceae,Trichococcus,midas_s_4
ESV619.1400,Bacteria,Chloroflexi,Anaerolineae,RBG-13-54-9,midas_f_72,midas_g_72,midas_s_72
ESV620.1444,Bacteria,Actinobacteriota,Acidimicrobiia,Microtrichales,Microtrichaceae,IMCC26207,midas_s_620
ESV621.1425,Bacteria,Firmicutes,Clostridia,Peptostreptococcales-Tissierellales,Peptostreptococcaceae,Romboutsia,midas_s_34
ESV622.1458,Bacteria,Coprothermobacterota,Coprothermobacteria,Coprothermobacterales,Coprothermobacteraceae,Coprothermobacter,Coprothermobacter_proteolyticus
ESV623.1444,Bacteria,Acidobacteriota,Blastocatellia,Blastocatellales,Blastocatellaceae,Stenotrophobacter,midas_s_144
ESV624.1456,Bacteria,Bacteroidota,Bacteroidia,Chitinophagales,Saprospiraceae,midas_g_207,midas_s_207
ESV625.1445,Bacteria,Actinobacteriota,Actinobacteria,Propionibacteriales,Nocardioidaceae,Nocardioides,midas_s_625
ESV626.1461,Bacteria,Firmicutes,Limnochordia,MBA03,midas_f_112,midas_g_112,midas_s_112
ESV627.1458,Bacteria,Bacteroidota,Kryptonia,Kryptoniales,BSV26,midas_g_627,midas_s_627
ESV628.1441,Bacteria,Actinobacteriota,Actinobacteria,Corynebacteriales,Mycobacteriaceae,Mycobacterium,midas_s_628
ESV629.1453,Bacteria,Proteobacteria,Gammaproteobacteria,Burkholderiales,Comamonadaceae,Comamonas,midas_s_629
ESV630.1443,Bacteria,Firmicutes,Clostridia,Hungateiclostridiaceae,midas_f_342,midas_g_630,midas_s_630
ESV631.1446,Bacteria,Planctomycetota,Planctomycetes,Pirellulales,Pirellulaceae,Pirellula,midas_s_631
ESV632.1451,Bacteria,Bacteroidota,Bacteroidia,Chitinophagales,Saprospiraceae,midas_g_17,midas_s_632
ESV633.1434,Bacteria,Chloroflexi,Anaerolineae,SBR1031,midas_f_184,midas_g_184,midas_s_184
ESV634.1429,Bacteria,Chloroflexi,Anaerolineae,Ardenticatenales,midas_f_176,midas_g_176,midas_s_609
ESV635.1425,Bacteria,Chloroflexi,Anaerolineae,Caldilineales,Caldilineaceae,midas_g_635,midas_s_635
ESV636.1460,Bacteria,Coprothermobacterota,Coprothermobacteria,Coprothermobacterales,Coprothermobacteraceae,Coprothermobacter,Coprothermobacter_proteolyticus
ESV637.1385,Bacteria,Proteobacteria,Alphaproteobacteria,Rhodobacterales,Rhodobacteraceae,Paracoccus,midas_s_637
ESV638.1389,Bacteria,Proteobacteria,Alphaproteobacteria,Rhodobacterales,Rhodobacteraceae,Rhodobacter,midas_s_430
ESV639.1461,Bacteria,Proteobacteria,Gammaproteobacteria,Burkholderiales,Nitrosomonadaceae,Nitrosomonas,midas_s_639
ESV640.1425,Bacteria,Firmicutes,Clostridia,Peptostreptococcales-Tissierellales,Peptostreptococcaceae,Romboutsia,midas_s_34
ESV641.1445,Bacteria,Actinobacteriota,Acidimicrobiia,IMCC26256,midas_f_641,midas_g_641,midas_s_641
ESV642.1407,Bacteria,Proteobacteria,Alphaproteobacteria,Rhizobiales,Rhizobiaceae,Mesorhizobium,midas_s_642
ESV643.1426,Bacteria,Bacteroidota,Bacteroidia,Cytophagales,Spirosomaceae,Lacihabitans,midas_s_85
ESV644.1446,Bacteria,Firmicutes,Clostridia,Christensenellales,Christensenellaceae,Christensenellaceae_R-7_group,midas_s_644
ESV645.1416,Bacteria,Proteobacteria,Alphaproteobacteria,Sphingomonadales,Sphingomonadaceae,Novosphingobium,midas_s_645
ESV646.1438,Bacteria,Bacteroidota,Bacteroidia,Chitinophagales,37-13,midas_g_543,midas_s_543
ESV647.1459,Bacteria,Proteobacteria,Gammaproteobacteria,Burkholderiales,Comamonadaceae,Rhodoferax,midas_s_647
ESV648.1404,Bacteria,Proteobacteria,Alphaproteobacteria,Rhizobiales,Hyphomicrobiaceae,midas_g_648,midas_s_648
ESV649.1440,Bacteria,Bacteroidota,Bacteroidia,Bacteroidales,Prolixibacteraceae,midas_g_422,midas_s_649
ESV650.1408,Bacteria,Proteobacteria,Alphaproteobacteria,Rhizobiales,Hyphomicrobiaceae,Hyphomicrobium,midas_s_650
ESV651.1442,Bacteria,Firmicutes,Clostridia,Christensenellales,Christensenellaceae,Christensenellaceae_R-7_group,midas_s_54
ESV652.1459,Bacteria,Proteobacteria,Gammaproteobacteria,midas_o_26,midas_f_98,midas_g_268,midas_s_268
ESV653.1446,Bacteria,Actinobacteriota,Acidimicrobiia,IMCC26256,midas_f_2,midas_g_653,midas_s_653
ESV654.1412,Bacteria,Proteobacteria,Alphaproteobacteria,Rhizobiales,midas_f_57,midas_g_57,midas_s_654
ESV655.1438,Bacteria,Firmicutes,Clostridia,Clostridiales,Clostridiaceae,Clostridium_sensu_stricto_1,midas_s_101
ESV656.1475,Bacteria,Proteobacteria,Gammaproteobacteria,midas_o_26,midas_f_98,Acidibacter,midas_s_656
ESV657.1474,Bacteria,Patescibacteria,Dojkabacteria,midas_o_546,midas_f_546,midas_g_657,midas_s_657
ESV658.1429,Bacteria,Chloroflexi,Anaerolineae,Ardenticatenales,midas_f_176,midas_g_176,midas_s_658
ESV659.1442,Bacteria,Actinobacteriota,Actinobacteria,Micrococcales,Intrasporangiaceae,Tetrasphaera,midas_s_45
ESV660.1461,Bacteria,Proteobacteria,Gammaproteobacteria,Xanthomonadales,Rhodanobacteraceae,Ahniella,midas_s_660
ESV661.1425,Bacteria,Chloroflexi,Anaerolineae,Caldilineales,Caldilineaceae,midas_g_105,midas_s_661
ESV662.1479,Bacteria,Firmicutes,Bacilli,Lactobacillales,Streptococcaceae,Lactococcus,Lactococcus_chungangensis
ESV663.1444,Bacteria,Actinobacteriota,Acidimicrobiia,Microtrichales,Microtrichaceae,IMCC26207,midas_s_663
ESV664.1456,Bacteria,Firmicutes,D8A-2,midas_o_13,midas_f_13,midas_g_664,midas_s_664
ESV665.1456,Bacteria,Firmicutes,Clostridia,Hungateiclostridiaceae,Fastidiosipila,midas_g_8,midas_s_8
ESV666.1471,Bacteria,Bacteroidota,Bacteroidia,Bacteroidales,Dysgonomonadaceae,Proteiniphilum,midas_s_445
ESV667.1418,Bacteria,Chloroflexi,Anaerolineae,C10-SB1A,midas_f_1,midas_g_667,midas_s_667
ESV668.1447,Bacteria,Bacteroidota,Bacteroidia,Chitinophagales,Saprospiraceae,midas_g_17,midas_s_17
ESV669.1442,Bacteria,Firmicutes,Clostridia,Gracilibacteraceae,Gracilibacter,midas_g_669,midas_s_669
ESV670.1411,Bacteria,Proteobacteria,Alphaproteobacteria,Sphingomonadales,Sphingomonadaceae,Sphingobium,midas_s_670
ESV671.1453,Bacteria,Synergistota,Synergistia,Synergistales,Synergistaceae,Acetomicrobium,midas_s_671
ESV672.1427,Bacteria,Chloroflexi,Anaerolineae,Ardenticatenales,midas_f_176,midas_g_176,midas_s_176
ESV673.1425,Bacteria,Firmicutes,Clostridia,Peptostreptococcales-Tissierellales,Peptostreptococcaceae,Romboutsia,midas_s_34
ESV674.1409,Bacteria,Bacteroidota,Kapabacteria,Kapabacteriales,midas_f_428,midas_g_428,midas_s_428
ESV675.1421,Bacteria,Acidobacteriota,Acidobacteriae,Paludibaculum,midas_f_675,midas_g_675,midas_s_675
ESV676.1432,Bacteria,Bacteroidota,Bacteroidia,Chitinophagales,midas_f_108,midas_g_558,midas_s_676
ESV677.1411,Bacteria,Proteobacteria,Alphaproteobacteria,Rhizobiales,Beijerinckiaceae,alphaI_cluster,midas_s_677
ESV678.1438,Bacteria,Firmicutes,Clostridia,Clostridiales,Clostridiaceae,Clostridium_sensu_stricto_1,midas_s_101
ESV679.1447,Bacteria,Bacteroidota,Bacteroidia,Chitinophagales,Chitinophagaceae,midas_g_679,midas_s_679
ESV680.1439,Bacteria,Bacteroidota,Bacteroidia,Bacteroidales,Prolixibacteraceae,midas_g_12,midas_s_12
ESV681.1478,Bacteria,Desulfobacterota,midas_c_41,midas_o_41,midas_f_681,midas_g_681,midas_s_681
ESV682.1457,Bacteria,Firmicutes,Clostridia,Hungateiclostridiaceae,Fastidiosipila,midas_g_605,midas_s_605
ESV683.1447,Bacteria,Firmicutes,Clostridia,Hungateiclostridiaceae,Ruminiclostridium,midas_g_683,midas_s_683
ESV684.1444,Bacteria,Actinobacteriota,Acidimicrobiia,Microtrichales,Microtrichaceae,IMCC26207,midas_s_663
ESV685.1441,Bacteria,Bacteroidota,Bacteroidia,Chitinophagales,Saprospiraceae,midas_g_142,midas_s_142
ESV686.1455,Bacteria,Proteobacteria,Gammaproteobacteria,Burkholderiales,Comamonadaceae,midas_g_33,midas_s_50
ESV687.1444,Bacteria,Synergistota,Synergistia,Synergistales,Synergistaceae,Thermovirga,midas_s_687
ESV688.1440,Bacteria,Firmicutes,Clostridia,Peptostreptococcales-Tissierellales,Anaerovoracaceae,midas_g_295,midas_s_494
ESV689.1459,Bacteria,Armatimonadota,midas_c_216,midas_o_330,midas_f_330,midas_g_330,midas_s_689
ESV690.1391,Bacteria,Proteobacteria,Alphaproteobacteria,Rhodobacterales,Rhodobacteraceae,Amaricoccus,midas_s_690
ESV691.1425,Bacteria,Firmicutes,Clostridia,Peptostreptococcales-Tissierellales,Peptostreptococcaceae,Romboutsia,Romboutsia_ilealis
ESV692.1461,Bacteria,Firmicutes,Limnochordia,MBA03,midas_f_112,midas_g_112,midas_s_112
ESV693.1426,Bacteria,Firmicutes,Clostridia,Peptostreptococcales-Tissierellales,Peptostreptococcaceae,Romboutsia,midas_s_34
ESV694.1411,Bacteria,Proteobacteria,Alphaproteobacteria,Rhizobiales,A0839,midas_g_694,midas_s_694
ESV695.1442,Bacteria,Actinobacteriota,Actinobacteria,Propionibacteriales,Propionibacteriaceae,Propionicicella,midas_s_695
ESV696.1447,Bacteria,Planctomycetota,Planctomycetes,Pirellulales,Pirellulaceae,Pirellula,midas_s_696
ESV697.1450,Bacteria,Bacteroidota,Bacteroidia,Chitinophagales,Saprospiraceae,midas_g_65,midas_s_65
ESV698.1438,Bacteria,Bacteroidota,Bacteroidia,Chitinophagales,Saprospiraceae,midas_g_23,midas_s_698
ESV699.1469,Bacteria,Cloacimonadota,Cloacimonadia,Cloacimonadales,Cloacimonadaceae,Ca_Cloacimonas,midas_s_246
ESV700.1481,Bacteria,Firmicutes,Bacilli,Lactobacillales,Carnobacteriaceae,Trichococcus,midas_s_4
ESV701.1437,Bacteria,Actinobacteriota,Actinobacteria,Propionibacteriales,Propionibacteriaceae,Propioniciclava,midas_s_701
ESV702.1436,Archaea,Halobacterota,Methanosarcinia,Methanosarciniales,Methanosaetaceae,Methanosaeta,midas_s_36
ESV703.1427,Bacteria,Firmicutes,Clostridia,Peptostreptococcales-Tissierellales,Sedimentibacteraceae,Sedimentibacter,midas_s_703
ESV704.1455,Bacteria,Proteobacteria,Gammaproteobacteria,Burkholderiales,Comamonadaceae,midas_g_33,midas_s_50
ESV705.1425,Bacteria,Firmicutes,Clostridia,Peptostreptococcales-Tissierellales,Peptostreptococcaceae,Intestinibacter,Intestinibacter_bartlettii
ESV706.1424,Bacteria,Chloroflexi,Anaerolineae,Caldilineales,Caldilineaceae,midas_g_169,midas_s_706
ESV707.1411,Bacteria,Proteobacteria,Gammaproteobacteria,Thiotrichales,Thiotrichaceae,Thiothrix,midas_s_525
ESV708.1451,Bacteria,Proteobacteria,Gammaproteobacteria,Burkholderiales,Comamonadaceae,Hydrogenophaga,midas_s_191
ESV709.1411,Bacteria,Proteobacteria,Alphaproteobacteria,Sphingomonadales,Sphingomonadaceae,Novosphingobium,midas_s_244
ESV710.1425,Bacteria,Chloroflexi,Anaerolineae,Caldilineales,Caldilineaceae,midas_g_347,midas_s_347
ESV711.1411,Bacteria,Proteobacteria,Alphaproteobacteria,Sphingomonadales,Sphingomonadaceae,Novosphingobium,midas_s_711
ESV712.1460,Bacteria,Proteobacteria,Gammaproteobacteria,Burkholderiales,Rhodocyclaceae,Ferribacterium,Ferribacterium_limneticum
ESV713.1438,Bacteria,Bacteroidota,SJA-28,midas_o_31,midas_f_31,midas_g_171,midas_s_171
ESV714.1442,Bacteria,Firmicutes,Dethiobacteria,Dethiobacterales,Dethiobacteraceae,midas_g_43,midas_s_43
ESV715.1442,Bacteria,Actinobacteriota,Actinobacteria,Micrococcales,Intrasporangiaceae,Tetrasphaera,midas_s_472
ESV716.1435,Bacteria,Firmicutes,Clostridia,Oscillospirales,Ruminococcaceae,Subdoligranulum,midas_s_348
ESV717.1460,Bacteria,Proteobacteria,Gammaproteobacteria,Burkholderiales,Nitrosomonadaceae,Nitrosomonas,midas_s_717
ESV718.1417,Bacteria,Chloroflexi,Anaerolineae,Jan/20,midas_f_105,midas_g_550,midas_s_550
ESV719.1453,Bacteria,Bacteroidota,Bacteroidia,Chitinophagales,Chitinophagaceae,Niabella,midas_s_719
ESV720.1441,Bacteria,Bacteroidota,Bacteroidia,Chitinophagales,Saprospiraceae,midas_g_23,midas_s_720
ESV721.1405,Bacteria,Proteobacteria,Alphaproteobacteria,Rhizobiales,Beijerinckiaceae,midas_g_534,midas_s_721
ESV722.1481,Bacteria,Firmicutes,Bacilli,Lactobacillales,Carnobacteriaceae,Trichococcus,midas_s_4
ESV723.1460,Bacteria,Proteobacteria,Gammaproteobacteria,Burkholderiales,Nitrosomonadaceae,Nitrosomonas,midas_s_723
ESV724.1443,Bacteria,Actinobacteriota,Actinobacteria,Micrococcales,Dermatophilaceae,midas_g_724,midas_s_724
ESV725.1445,Bacteria,Actinobacteriota,Actinobacteria,Micrococcales,Dermatophilaceae,midas_g_724,midas_s_725
ESV726.1453,Bacteria,Bacteroidota,Bacteroidia,Chitinophagales,Chitinophagaceae,Terrimonas,midas_s_548
ESV727.1458,Bacteria,Elusimicrobiota,Elusimicrobia,MVP-88,midas_f_595,midas_g_595,midas_s_727
ESV728.1425,Bacteria,Patescibacteria,Saccharimonadia,Saccharimonadales,Saccharimonadaceae,Ca_Saccharimonas,midas_s_728
ESV729.1434,Bacteria,Bacteroidota,Bacteroidia,Chitinophagales,Saprospiraceae,midas_g_729,midas_s_729
ESV730.1460,Bacteria,Proteobacteria,Gammaproteobacteria,Burkholderiales,Rhodocyclaceae,Sulfuritalea,midas_s_730
ESV731.1412,Bacteria,Chloroflexi,OLB14,midas_o_731,midas_f_731,midas_g_731,midas_s_731
ESV732.1459,Bacteria,Proteobacteria,Gammaproteobacteria,Burkholderiales,Comamonadaceae,Rhodoferax,Rhodoferax_antarcticus
ESV733.1455,Bacteria,Proteobacteria,Gammaproteobacteria,Cellvibrionales,Spongiibacteraceae,BD1-7_clade,midas_s_263
ESV734.1455,Bacteria,Bacteroidota,Bacteroidia,Chitinophagales,Chitinophagaceae,midas_g_32,midas_s_734
ESV735.1426,Bacteria,Chloroflexi,Anaerolineae,Ardenticatenales,midas_f_176,midas_g_176,midas_s_176
ESV736.1457,Bacteria,Proteobacteria,Gammaproteobacteria,Burkholderiales,Comamonadaceae,Rhodoferax,Rhodoferax_antarcticus
ESV737.1438,Bacteria,Firmicutes,Clostridia,Clostridiales,Clostridiaceae,Clostridium_sensu_stricto_1,midas_s_101
ESV738.1451,Bacteria,Bacteroidota,Bacteroidia,Bacteroidales,Dysgonomonadaceae,Proteiniphilum,midas_s_738
ESV739.1443,Bacteria,Actinobacteriota,Actinobacteria,Micrococcales,Dermatophilaceae,midas_g_739,midas_s_739
ESV740.1457,Bacteria,Proteobacteria,Gammaproteobacteria,Burkholderiales,Comamonadaceae,Rhodoferax,midas_s_320
ESV741.1458,Bacteria,Firmicutes,D8A-2,midas_o_13,midas_f_13,midas_g_554,midas_s_741
ESV742.1440,Bacteria,Bacteroidota,Bacteroidia,Bacteroidales,Prolixibacteraceae,midas_g_422,midas_s_742
ESV743.1453,Bacteria,Bacteroidota,Bacteroidia,Chitinophagales,Chitinophagaceae,Terrimonas,midas_s_743
ESV744.1483,Bacteria,Desulfobacterota,Syntrophobacteria,Syntrophobacterales,Syntrophobacteraceae,Syntrophobacter,midas_s_744
ESV745.1462,Bacteria,Acidobacteriota,Holophagae,Holophagales,Holophagaceae,Geothrix,midas_s_443
ESV746.1410,Bacteria,Proteobacteria,Alphaproteobacteria,Sphingomonadales,Sphingomonadaceae,midas_g_746,midas_s_746
ESV747.1386,Bacteria,Proteobacteria,Alphaproteobacteria,Rhodobacterales,Rhodobacteraceae,midas_g_436,midas_s_747
ESV748.1470,Bacteria,Proteobacteria,Gammaproteobacteria,Legionellales,Legionellaceae,Legionella,midas_s_175
ESV749.1387,Bacteria,Proteobacteria,Alphaproteobacteria,Rhodobacterales,Rhodobacteraceae,midas_g_436,midas_s_749
ESV750.1453,Bacteria,Proteobacteria,Gammaproteobacteria,Burkholderiales,Burkholderiaceae,Lautropia,midas_s_750
ESV751.1435,Bacteria,Firmicutes,Clostridia,Oscillospirales,Ruminococcaceae,Subdoligranulum,midas_s_348
ESV752.1436,Bacteria,Actinobacteriota,Actinobacteria,Propionibacteriales,Propionibacteriaceae,Propioniciclava,midas_s_752
ESV753.1487,Bacteria,Latescibacterota,midas_c_18,midas_o_753,midas_f_753,midas_g_753,midas_s_753
ESV754.1453,Bacteria,Firmicutes,Clostridia,Peptostreptococcales-Tissierellales,Proteiniboraceae,Proteiniborus,Proteiniborus_ethanoligenes
ESV755.1387,Bacteria,Proteobacteria,Alphaproteobacteria,Rhodobacterales,Rhodobacteraceae,Rhodobacter,midas_s_430
ESV756.1460,Bacteria,Proteobacteria,Gammaproteobacteria,Burkholderiales,Rhodocyclaceae,Sulfuritalea,midas_s_730
ESV757.1458,Bacteria,Proteobacteria,Gammaproteobacteria,Run-SP154,midas_f_27,midas_g_70,midas_s_219
ESV758.1445,Bacteria,Bacteroidota,Bacteroidia,Flavobacteriales,NS9_marine_group,midas_g_385,midas_s_758
ESV759.1461,Bacteria,Nitrospirota,Nitrospiria,Nitrospirales,Nitrospiraceae,Nitrospira,midas_s_211
ESV760.1445,Bacteria,Bacteroidota,Bacteroidia,Flavobacteriales,NS9_marine_group,midas_g_225,midas_s_225
ESV761.1456,Bacteria,Proteobacteria,Gammaproteobacteria,Competibacterales,Competibacteraceae,Ca_Competibacter,midas_s_761
ESV762.1441,Bacteria,Synergistota,Synergistia,Synergistales,Synergistaceae,midas_g_762,midas_s_762
ESV763.1468,Bacteria,Cloacimonadota,Cloacimonadia,Cloacimonadales,Cloacimonadaceae,Ca_Cloacimonas,midas_s_301
